t_s,alt_m,downrange_km,V_mps,gamma_deg,q_Pa,Qdot_Wm2,sigma_deg,Mach,lat_deg,lon_deg
0.0,125000.0,5.060732364654541e-05,4700.0,-15.200000000000003,2.841136443082314,10051.282064647376,68.26153920847952,21.017069358259338,-21.3,-176.40167
0.1,124876.78297125734,0.43611652144033736,4700.089926805084,-15.196699349851826,2.8729604899980727,10107.834145160547,68.26153920847952,21.017463615513787,-21.292628898042818,-176.4020674165354
0.2,124753.58971567778,0.8722634168022699,4700.17983158936,-15.193398434035439,2.905134752054008,10164.693361016944,68.26153920847952,21.017857775537287,-21.285257281396753,-176.40246483255942
0.30000000000000004,124630.42023735214,1.3084406872770271,4700.269714248258,-15.190097252351364,2.937663010852822,10221.861313408694,68.26153920847952,21.018251837862685,-21.277885150120486,-176.40286224806312
0.4,124507.27454037592,1.7446483308760605,4700.359574676132,-15.186795804597772,2.970549088001945,10279.339611471543,68.26153920847952,21.018645802018007,-21.270512504272883,-176.40325966303766
0.5,124384.15262884833,2.18088634443776,4700.449412766249,-15.183494090570461,3.0037968455275967,10337.129872322197,68.26153920847952,21.019039667526425,-21.26313934391299,-176.40365707747395
0.6000000000000001,124261.05450687278,2.617154722159788,4700.539228410779,-15.180192110062825,3.0374101862926746,10395.233721095134,68.26153920847952,21.019433433906208,-21.25576566910005,-176.40405449136296
0.7000000000000001,124137.98017855734,3.053453460841756,4700.629021500781,-15.176889862865833,3.071393054418844,10453.652790979626,68.26153920847952,21.019827100670646,-21.248391479893506,-176.40445190469538
0.8,124014.92964801425,3.4897825578928017,4700.718791926192,-15.173587348768,3.1057494357131388,10512.388723257283,68.26153920847952,21.02022066732803,-21.241016776352982,-176.40484931746198
0.9,123891.90291935997,3.926142010993673,4700.808539575816,-15.170284567555367,3.1404833580987446,10571.443167339603,68.26153920847952,21.020614133381567,-21.233641558538302,-176.4052467296533
1.0,123768.89999671513,4.362531813852084,4700.898264337311,-15.166981519011463,3.1755988920501115,10630.817780805632,68.26153920847952,21.02100749832936,-21.226265826509497,-176.40564414125987
1.1,123645.9208842055,4.798951965214548,4700.9879660971765,-15.163678202917293,3.21110015103221,10690.514229439372,68.26153920847952,21.021400761664317,-21.218889580326785,-176.40604155227203
1.2000000000000002,123522.965585961,5.23540246138577,4701.077644740743,-15.160374619051298,3.2469912919446866,10750.53418726816,68.26153920847952,21.021793922874128,-21.211512820050597,-176.40643896268008
1.3,123400.03410611628,5.671883298071741,4701.167300152159,-15.157070767189342,3.28327651557016,10810.879336600645,68.26153920847952,21.02218698144119,-21.204135545741558,-176.40683637247423
1.4000000000000001,123277.1264488101,6.108394472690574,4701.256932214378,-15.153766647104671,3.3199600670272567,10871.55136806528,68.26153920847952,21.02257993684257,-21.196757757460496,-176.4072337816445
1.5,123154.2426181864,6.544935981258545,4701.346540809145,-15.150462258567893,3.357046236227801,10932.551980648333,68.26153920847952,21.02297278854992,-21.189379455268455,-176.40763119018084
1.6,123031.38261839328,6.981507820296175,4701.4361258169865,-15.147157601346947,3.394539358339168,10993.88288173296,68.26153920847952,21.023365536029452,-21.18200063922668,-176.40802859807317
1.7000000000000002,122908.54645358399,7.418109986507672,4701.525687117195,-15.143852675207073,3.432443814250734,11055.545787137537,68.26153920847952,21.02375817874186,-21.174621309396628,-176.40842600531118
1.8,122785.73412791686,7.854742476241212,4701.6152245878175,-15.140547479910795,3.4707640310452446,11117.542421154541,68.26153920847952,21.02415071614227,-21.16724146583997,-176.40882341188453
1.9000000000000001,122662.94564555446,8.291405286046395,4701.704738105642,-15.137242015217877,3.509504482475303,11179.874516590191,68.26153920847952,21.024543147680166,-21.159861108618593,-176.40922081778274
2.0,122540.18101066444,8.728098412624234,4701.794227546184,-15.133936280885303,3.5486696894439804,11242.54381480316,68.26153920847952,21.024935472799363,-21.15248023779459,-176.40961822299522
2.1,122417.4402274196,9.164821851533919,4701.883692783673,-15.130630276667242,3.5882642204905735,11305.55206574401,68.26153920847952,21.02532769093792,-21.145098853430287,-176.41001562751129
2.2,122294.7232999974,9.601575599853472,4701.973133691039,-15.127324002315024,3.628292692281432,11368.901027995029,68.26153920847952,21.02571980152808,-21.137716955588214,-176.4104130313201
2.3000000000000003,122172.03023258084,10.03835965406375,4702.0625501399,-15.124017457577112,3.6687597701051877,11432.59246880946,68.26153920847952,21.026111803996223,-21.130334544331134,-176.41081043441073
2.4000000000000004,122049.36102935765,10.475174010417739,4702.151942000546,-15.12071064219906,3.7096701683736293,11496.628164151905,68.26153920847952,21.026503697762795,-21.122951619722027,-176.41120783677215
2.5,121926.71569452109,10.912018665338524,4702.241309141928,-15.11740355592349,3.7510286511269255,11561.00989873786,68.26153920847952,21.026895482242253,-21.1155681818241,-176.41160523839315
2.6,121804.09423226956,11.348893615274003,4702.330651431639,-15.114096198490067,3.7928400325444525,11625.739466074236,68.26153920847952,21.027287156842984,-21.10818423070079,-176.41200263926243
2.7,121681.49664680613,11.785798856040655,4702.419968735906,-15.110788569635455,3.8351091774606885,11690.818668499942,68.26153920847952,21.027678720967263,-21.10079976641577,-176.4124000393686
2.8000000000000003,121558.92294234037,12.222734384717723,4702.509260919571,-15.107480669093293,3.8778410018855056,11756.249317225493,68.26153920847952,21.028070174011184,-21.093414789032924,-176.41279743870018
2.9000000000000004,121436.37312308606,12.659700197305366,4702.5985278460785,-15.104172496594167,3.9210404735311184,11822.033232374932,68.26153920847952,21.02846151536458,-21.086029298616392,-176.4131948372454
3.0,121313.84719326347,13.096696290273805,4702.6877693774595,-15.100864051865566,3.9647126123426952,11888.172243025458,68.26153920847952,21.028852744410973,-21.07864329523054,-176.41359223499262
3.1,121191.34515709756,13.533722659541466,4702.7769853743175,-15.097555334631862,4.0088624910357655,11954.66818724952,68.26153920847952,21.029243860527497,-21.07125677893997,-176.4139896319298
3.2,121068.86701881932,13.970779301844779,4702.866175695814,-15.094246344614266,4.053495235637805,12021.522912155202,68.26153920847952,21.02963486308485,-21.063869749809534,-176.41438702804496
3.3000000000000003,120946.41278266534,14.407866213370015,4702.955340199651,-15.090937081530805,4.098616026035992,12088.738273927922,68.26153920847952,21.030025751447194,-21.056482207904313,-176.41478442332587
3.4000000000000004,120823.9824528778,14.844983390265822,4703.04447874206,-15.087627545096282,4.144230096530188,12156.316137871923,68.26153920847952,21.03041652497212,-21.049094153289644,-176.4151818177603
3.5,120701.57603370491,15.282130828648818,4703.133591177782,-15.084317735022243,4.190342736391337,12224.258378451741,68.26153920847952,21.03080718301056,-21.041705586031107,-176.4155792113358
3.6,120579.19352940051,15.7193085251785,4703.222677360055,-15.081007651016943,4.236959290425783,12292.566879334348,68.26153920847952,21.031197724906704,-21.03431650619453,-176.4159766040398
3.7,120456.83494422399,16.156516475715854,4703.311737140596,-15.077697292785313,4.284085159545048,12361.243533431196,68.26153920847952,21.031588149997983,-21.026926913845987,-176.41637399585957
3.8000000000000003,120334.50028244127,16.593754676586318,4703.400770369586,-15.074386660028923,4.331725801340933,12430.290242939855,68.26153920847952,21.031978457614926,-21.01953680905182,-176.4167713867823
3.9000000000000004,120212.18954832386,17.031023123994032,4703.489776895655,-15.071075752445953,4.379886730667152,12499.708919387038,68.26153920847952,21.032368647081142,-21.01214619187862,-176.417168776795
4.0,120089.90274614934,17.46832181396389,4703.578756565864,-15.067764569731143,4.428573520226117,12569.501483670734,68.26153920847952,21.032758717713214,-21.00475506239323,-176.41756616588458
4.1000000000000005,119967.63988020178,17.90565074286425,4703.667709225689,-15.064453111575775,4.477791801161715,12639.669866102808,68.26153920847952,21.033148668820665,-20.997363420662758,-176.41796355403778
4.2,119845.40095477132,18.343009906807673,4703.756634719004,-15.061141377667619,4.527547263658239,12710.216006452027,68.26153920847952,21.03353849970583,-20.98997126675458,-176.41836094124116
4.3,119723.18597415462,18.78039930174906,4703.845532888067,-15.05782936769091,4.577845657545054,12781.141853986972,68.26153920847952,21.033928209663824,-20.98257860073633,-176.4187583274812
4.4,119600.99494265392,19.2178189241035,4703.934403573499,-15.054517081326306,4.62869279290773,12852.44936751967,68.26153920847952,21.034317797982453,-20.975185422675914,-176.41915571274427
4.5,119478.82786457846,19.655268769717935,4704.023246614271,-15.05120451825085,4.68009454070446,12924.140515448333,68.26153920847952,21.03470726394213,-20.967791732641512,-176.41955309701643
4.6000000000000005,119356.68474424398,20.092748834825475,4704.11206184768,-15.047891678137933,4.732056833389247,12996.217275801064,68.26153920847952,21.03509660681581,-20.960397530701567,-176.41995048028377
4.7,119234.56558597274,20.530259115380616,4704.20084910934,-15.044578560657252,4.784585665541236,13068.681636279713,68.26153920847952,21.035485825868896,-20.953002816924805,-176.4203478625321
4.800000000000001,119112.47039409308,20.967799607638177,4704.289608233159,-15.041265165474774,4.8376870945004296,13141.535594303978,68.26153920847952,21.035874920359184,-20.945607591380227,-176.42074524374718
4.9,118990.39917294076,21.405370307225375,4704.378339051323,-15.037951492252704,4.891367241008979,13214.781157054744,68.26153920847952,21.036263889536748,-20.938211854137123,-176.42114262391456
5.0,118868.35192685807,21.8429712104946,4704.467041394275,-15.03463754064943,4.945632289859844,13288.420341518826,68.26153920847952,21.03665273264391,-20.93081560526505,-176.42154000301963
5.1000000000000005,118746.32866019383,22.280602313360365,4704.5557150907025,-15.0313233103195,5.0004884905515405,13362.455174533454,68.26153920847952,21.03704144891509,-20.92341884483386,-176.42193738104763
5.2,118624.32937730383,22.71826361184893,4704.644359967514,-15.02800880091357,5.0559421579491675,13436.887692830607,68.26153920847952,21.037430037576804,-20.9160215729137,-176.42233475798363
5.300000000000001,118502.35408255132,23.155955101977252,4704.732975849823,-15.024694012078365,5.111999672952006,13511.719943081465,68.26153920847952,21.037818497847507,-20.908623789574996,-176.42273213381264
5.4,118380.40278030606,23.5936767794284,4704.821562560927,-15.021378943456645,5.1686674831684165,13586.953981941982,68.26153920847952,21.038206828937565,-20.901225494888475,-176.42312950851934
5.5,118258.47547494527,24.031428640434623,4704.910119922292,-15.018063594687154,5.225952103596579,13662.591876097427,68.26153920847952,21.038595030049127,-20.89382668892516,-176.4235268820884
5.6000000000000005,118136.57217085361,24.46921068083877,4704.99864775353,-15.014747965404585,5.283860117312445,13738.635702307713,68.26153920847952,21.038983100376072,-20.886427371756366,-176.4239242545042
5.7,118014.69287242228,24.90702289638565,4705.087145872382,-15.011432055239535,5.342398176164907,13815.087547453411,68.26153920847952,21.039371039103905,-20.87902754345372,-176.42432162575102
5.800000000000001,117892.83758405037,25.344865283134883,4705.175614094696,-15.008115863818464,5.401573001476864,13891.94950858059,68.26153920847952,21.039758845409683,-20.87162720408915,-176.42471899581295
5.9,117771.00631014397,25.782737836887943,4705.26405223441,-15.004799390763647,5.461391384754307,13969.223692947222,68.26153920847952,21.040146518461896,-20.864226353734896,-176.42511636467398
6.0,117649.19905511709,26.220640553454036,4705.35246010353,-15.001482635693133,5.521860188401536,14046.912218068617,68.26153920847952,21.040534057420427,-20.856824992463498,-176.42551373231785
6.1000000000000005,117527.41582339164,26.6585734287937,4705.440837512111,-14.998165598220707,5.582986346443943,14125.017211763603,68.26153920847952,21.04092146143642,-20.849423120347815,-176.42591109872808
6.2,117405.65661939653,27.096536458439594,4705.529184268236,-14.994848277955832,5.644776865258434,14203.540812201481,68.26153920847952,21.041308729652204,-20.84202073746103,-176.42630846388815
6.300000000000001,117283.92144756857,27.534529638460803,4705.617500177996,-14.991530674503618,5.7072388243101635,14282.48516794798,68.26153920847952,21.041695861201198,-20.834617843876636,-176.42670582778126
6.4,117162.21031235252,27.972552964505375,4705.705785045468,-14.988212787464771,5.7703793768970435,14361.852438012018,68.26153920847952,21.042082855207827,-20.827214439668452,-176.42710319039043
6.5,117040.52321820147,28.410606432373797,4705.794038672695,-14.984894616435541,5.834205750901386,14441.644791892262,68.26153920847952,21.04246971078743,-20.819810524910622,-176.42750055169856
6.6000000000000005,116918.86016957602,28.848690037741168,4705.8822608596665,-14.981576161007688,5.8987252495497,14521.864409624814,68.26153920847952,21.04285642704613,-20.812406099677624,-176.42789791168835
6.7,116797.22117094463,29.2868037764291,4705.970451404293,-14.978257420768418,5.9639452521793395,14602.5134818302,68.26153920847952,21.0432430030808,-20.805001164044256,-176.42829527034226
6.800000000000001,116675.60622678464,29.72494764392111,4706.058610102388,-14.974938395300363,6.0298732150124685,14683.594209760211,68.26153920847952,21.043629437978904,-20.79759571808566,-176.42869262764262
6.9,116554.01534158131,30.16312163606658,4706.146736747644,-14.971619084181496,6.096516671938626,14765.108805346079,68.26153920847952,21.04401573081844,-20.790189761877315,-176.4290899835715
